DATE,BOROUGH,DIRECTION,MAIN STREET,CROSS STREET,TYPE,TRUCK ROUTE,STRUCK OVERPASS,STATE OF OPERATORS LICENSE,BRIDGE IDENTIFICATION NUMBER,LATITUDE,LONGITUDE,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
08/21/2017,MANHATTAN,N/B,PARK AVENUE TUNNEL,EAST 33rd STREET,STRIKE,NO,YES,N/A,2246540,40.74644,-73.981808,POINT (-73.981808 40.74644),12078,11,4,50,8
06/20/2019,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,NY,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
06/05/2019,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,MEX,2231590,40.666577,-73.810575,POINT (-73.810575 40.666577),24016,62,3,46,64
07/27/2017,QUEENS,W/B,JACKIE ROBINSON PARKWAY,FOREST PARK DRIVE,STRIKE,NO,YES,NJ,2230109,40.699824,-73.868701,POINT (-73.868701 40.699824),24017,54,3,34,60
01/24/2017,QUEENS,W/B,JACKIE ROBINSON PARKWAY,METROPOLITAN AVENUE,STRIKE,NO,YES,N/A,2230179,40.708996,-73.841639,POINT (-73.841639 40.708996),24011,38,3,28,60
02/07/2016,QUEENS,W/B,JACKIE ROBINSON PARKWAY,MARKWOOD PLACE,STRIKE,NO,YES,N/A,2230190,40.711773,-73.836038,POINT (-73.836038 40.711773),14786,40,3,28,70
05/25/2017,BROOKLYN,W/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,NJ,2231290,40.601568,-74.011839,POINT (-74.011839 40.601568),17616,1,2,44,37
03/30/2015,MANHATTAN,W/B,65th STREET,TRANSVERSE ROAD,STRIKE,YES,NO,N/A,2246100,40.769876,-73.974707,POINT (-73.974707 40.769876),,19,4,19,13
09/26/2018,MANHATTAN,N/B,FDR DRIVE,EAST 57th STREET,STRIKE,NO,YES,N/A,2233038,40.757108,-73.960048,POINT (-73.960048 40.757108),12419,71,4,1,9
03/19/2013,QUEENS,E/B,BELT PARKWAY,FARMERS BOULEVARD,STRIKE,NO,YES,N/A,2231620,40.666941,-73.767092,POINT (-73.767092 40.666941),24669,63,3,47,63
07/29/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,N/A,2075820,40.840729,-73.83848,POINT (-73.83848 40.840729),11270,59,5,12,32
07/24/2018,BRONX,N/B,HENRY HUDSON PARKWAY,WEST 239th STREET,STRIKE,NO,YES,N/A,2229670,40.889358,-73.908774,POINT (-73.908774 40.889358),11609,48,5,40,33
11/21/2013,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,NY,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
