DATE,BOROUGH,DIRECTION,MAIN STREET,CROSS STREET,TYPE,TRUCK ROUTE,STRUCK OVERPASS,STATE OF OPERATORS LICENSE,BRIDGE IDENTIFICATION NUMBER,LATITUDE,LONGITUDE,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
05/22/2015,MANHATTAN,N/B,FDR DRIVE,EAST 57th STREET,STRIKE,NO,YES,N/A,2233040,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
10/04/2014,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
01/01/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,ORCHARD BEACH ROAD,STRIKE,NO,YES,N/A,1075860,40.873041,-73.818738,POINT (-73.818738 40.873041),11273,44,5,12,28
11/01/2016,QUEENS,E/B,BELT PARKWAY,MERRICK BOULEVARD,STRIKE,NO,YES,PA,2231720,40.673653,-73.734423,POINT (-73.734423 40.673653),24018,63,3,47,63
12/03/2018,MANHATTAN,S/B,FDR DRIVE,EAST 49th STREET,STRIKE,NO,YES,N/A,2266630,40.752444,-73.964531,POINT (-73.964531 40.752444),12419,71,4,51,9
05/20/2014,QUEENS,E/B,QUEENS BOULEVARD,VAN DAM STREET,STRIKE,YES,YES,N/A,,40.74515,-73.93352,POINT (-73.93352 40.74515),16858,53,3,33,66
06/12/2018,QUEENS,S/B,CROSS ISLAND PARKWAY,147th STREET,STRIKE,NO,YES,CT,2231980,40.789313,-73.819404,POINT (-73.819404 40.789313),14192,22,3,20,67
03/15/2016,MANHATTAN,N/B,FDR DRIVE,EAST 73rd STREET,STRIKE,NO,YES,PA,,40.76649,-73.950793,POINT (-73.950793 40.76649),12083,23,4,1,11
04/01/2018,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,GA,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
05/17/2019,QUEENS,W/B,GRAND CENTRAL PARKWAY,ROOSEVELT AVENUE,STRIKE,NO,YES,NJ,1055930,40.752716,-73.852024,POINT (-73.852024 40.752716),14510,65,3,21,68
04/25/2014,BROOKLYN,E/B,BELT PARKWAY,CONEY ISLAND AVENUE,STRIKE,NO,NO,N/A,2231380,40.584596,-73.960353,POINT (-73.960353 40.584596),13826,21,2,15,35
03/06/2013,BROOKLYN,E/B,BELT PARKWAY,BAY 8th STREET,STRIKE,NO,NO,N/A,2231290,40.603714,-74.019181,POINT (-74.019181 40.603714),17216,10,2,44,41
06/29/2016,QUEENS,S/B,CROSS ISLAND PARKWAY,LINDEN BOULEVARD,STRIKE,NO,YES,N/A,2231750,40.690743,-73.72678,POINT (-73.72678 40.690743),15311,63,3,6,63
06/27/2017,BRONX,N/B,HENRY HUDSON PARKWAY,WEST 239th STREET,STRIKE,NO,YES,DC,2229670,40.889358,-73.908774,POINT (-73.908774 40.889358),11609,48,5,40,33
08/22/2013,BRONX,S/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,N/A,2075820,40.840729,-73.83848,POINT (-73.83848 40.840729),11270,59,5,12,32
02/18/2019,BROOKLYN,W/B,BELT PARKWAY,27th AVENUE,STRIKE,NO,YES,TX,2231330,40.587711,-73.991782,POINT (-73.991782 40.587711),17616,21,2,44,35
07/14/2014,QUEENS,W/B,JACKIE ROBINSON PARKWAY,QUEENS BOULEVARD,STRIKE,NO,YES,N/A,2230209,40.714381,-73.830989,POINT (-73.830989 40.714381),14786,40,3,28,60
03/13/2017,QUEENS,W/B,BELT PARKWAY,ROCKWAY BOULEVARD,STRIKE,NO,YES,N/A,2231602,40.667285,-73.780237,POINT (-73.780237 40.667285),24669,41,3,47,71
10/28/2016,BROOKLYN,E/B,BELT PARKWAY,27th AVENUE,STRIKE,NO,YES,IL,2231330,40.587617,-73.991909,POINT (-73.991909 40.587617),17616,21,2,44,35
11/16/2015,QUEENS,S/B,CROSS ISLAND PARKWAY,150th STREET,STRIKE,NO,YES,N/A,2231950,40.787291,-73.813322,POINT (-73.813322 40.787291),14192,22,3,20,67
07/17/2018,QUEENS,E/B,JACKIE ROBINSON PARKWAY,CYPRESS AVENUE,STRIKE,NO,YES,N/A,2230040,40.690819,-73.888706,POINT (-73.888706 40.690819),15310,54,3,34,62
11/25/2017,BRONX,S/B,HUTCHINSON RIVER PARKWAY,BRUCKNER BOULEVARD,STRIKE,NO,YES,VA,2076109,40.829008,-73.837189,POINT (-73.837189 40.829008),11274,43,5,12,28
04/13/2018,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,MA,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
08/01/2014,BRONX,S/B,HENRY HUDSON PARKWAY,WEST 252nd STREET,STRIKE,NO,YES,NY,2229500,40.899333,-73.907194,POINT (-73.907194 40.899333),11609,48,5,40,33
07/14/2017,QUEENS,W/B,GRAND CENTRAL PARKWAY,72nd ROAD,STRIKE,NO,YES,N/A,1065020,40.721793,-73.835529,POINT (-73.835529 40.721793),14786,40,3,28,70
01/22/2015,QUEENS,W/B,GRAND CENTRAL PARKWAY,CROSS ISLAND PARKWAY,STRIKE,NO,YES,TX,1076620,40.74372,-73.732056,POINT (-73.732056 40.74372),24335,63,3,16,63
12/12/2015,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,CA,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
06/13/2014,QUEENS,W/B,31st STREET,31st AVENUE,STRIKE,NO,YES,N/A,,40.764368,-73.923465,POINT (-73.923465 40.764368),16859,39,3,4,72
03/06/2014,BRONX,W/B,CROSS BRONX EXPRESSWAY,BOSTON ROAD,STRIKE,YES,YES,N/A,1066407,40.839368,-73.883927,POINT (-73.883927 40.839368),11269,35,5,43,31
05/16/2016,BRONX,W/B,EAST 138th STREET,WALNUT AVENUE,STRIKE,YES,YES,N/A,,40.802818,-73.908506,POINT (-73.908506 40.802818),10932,49,5,43,23
07/17/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,MA,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
03/26/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
09/24/2015,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,N/A,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
09/12/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,OH,2075820,40.84066,-73.838276,POINT (-73.838276 40.84066),11270,43,5,12,28
08/29/2017,QUEENS,E/B,CROSS ISLAND PARKWAY,SOUTHERN STATE PARKWAY,STRIKE,NO,YES,WI,2266770,40.685666,-73.726403,POINT (-73.726403 40.685666),15311,63,3,6,63
06/24/2019,QUEENS,E/B,BELT PARKWAY,150th STREET,STRIKE,NO,YES,FL,1076660,40.666311,-73.789565,POINT (-73.789565 40.666311),24669,63,3,46,71
11/22/2014,BROOKLYN,E/B,BELT PARKWAY,BAY 8th STREET,STRIKE,NO,YES,N/A,2231290,40.603714,-74.019181,POINT (-74.019181 40.603714),17216,10,2,44,41
09/05/2018,BRONX,N/B,HENRY HUDSON PARKWAY,WEST 239th STREET,STRIKE,NO,YES,GA,2229670,40.889358,-73.908774,POINT (-73.908774 40.889358),11609,48,5,40,33
11/23/2016,MANHATTAN,N/B,FDR DRIVE,EAST 61st STREET,STRIKE,NO,YES,MD,2233040,40.759554,-73.957941,POINT (-73.957941 40.759554),12083,23,4,1,11
06/05/2019,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,OH,2231590,40.666577,-73.810575,POINT (-73.810575 40.666577),24016,62,3,46,64
02/05/2016,QUEENS,W/B,JACKIE ROBINSON PARKWAY,MARKWOOD PLACE,STRIKE,NO,YES,N/A,2230190,40.711773,-73.836038,POINT (-73.836038 40.711773),14786,40,3,28,70
08/13/2018,QUEENS,W/B,QUEENSBORO BRIDGE,23rd STREET,STRIKE,YES,YES,N/A,224004H,40.751801,-73.942939,POINT (-73.942939 40.751801),16858,53,3,33,66
03/31/2017,QUEENS,W/B,GRAND CENTRAL PARKWAY,NORTHERN BOULEVARD,STRIKE,NO,YES,N/A,1075670,40.75846,-73.854591,POINT (-73.854591 40.75846),14510,65,3,21,68
12/13/2014,BROOKLYN,W/B,REMSEN AVENUE,DITMAS AVENUE,STRIKE,YES,YES,N/A,7702720,40.647153,-73.913616,POINT (-73.913616 40.647153),13827,5,2,25,42
03/10/2017,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,OH,2231590,40.666577,-73.810575,POINT (-73.810575 40.666577),24016,62,3,46,64
02/09/2016,MANHATTAN,S/B,HARLEM RIVER DRIVE,ROBERT F. KENNEDY BRIDGE,STRIKE,NO,NO,PA,,40.801282,-73.930079,POINT (-73.930079 40.801282),13093,7,4,35,16
01/28/2013,MANHATTAN,,79th STREET,TRANSVERSE ROAD,STRIKE,YES,NO,N/A,2246440,40.778809,-73.968183,POINT (-73.968183 40.778809),,19,4,19,13
10/13/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
03/12/2019,BROOKLYN,W/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,FL,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
01/28/2019,QUEENS,W/B,JACKIE ROBINSON PARKWAY,QUEENS BOULEVARD,STRIKE,NO,YES,OH,2230209,40.714381,-73.830989,POINT (-73.830989 40.714381),14786,40,3,28,60
05/18/2016,MANHATTAN,N/B,FDR DRIVE,EAST 61st STREET,STRIKE,NO,YES,MD,2233040,40.759554,-73.957941,POINT (-73.957941 40.759554),12083,23,4,1,11
05/18/2014,QUEENS,N/B,CROSS ISLAND PARKWAY,WHITESTONE EXPRESSWAY,STRIKE,YES,YES,TX,2266160,40.789428,-73.822636,POINT (-73.822636 40.789428),14192,22,3,20,67
05/15/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
07/31/2013,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
01/04/2019,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,VA,2231590,40.666577,-73.810575,POINT (-73.810575 40.666577),24016,62,3,46,64
04/23/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
06/06/2018,MANHATTAN,N/B,FDR DRIVE,EAST 62nd STREET,STRIKE,NO,YES,MD,2233038,40.759554,-73.957941,POINT (-73.957941 40.759554),12083,23,4,1,11
08/05/2016,QUEENS,W/B,GRAND CENTRAL PARKWAY,ROOSEVELT AVENUE,STRIKE,NO,YES,N/A,1055930,40.752716,-73.852024,POINT (-73.852024 40.752716),14510,65,3,21,68
11/23/2015,QUEENS,E/B,BELT PARKWAY,CROSS ISLAND PARKWAY,STRIKE,NO,YES,NY,2266770,40.683846,-73.726456,POINT (-73.726456 40.683846),15311,63,3,6,63
10/02/2014,BRONX,S/B,HENRY HUDSON PARKWAY,WEST 252nd STREET,STRIKE,NO,YES,OH,2229500,40.899333,-73.907194,POINT (-73.907194 40.899333),11609,48,5,40,33
11/06/2017,QUEENS,W/B,JACKIE ROBINSON PARKWAY,MYRTLE AVENUE,STRIKE,NO,YES,NY,2230120,40.702933,-73.858304,POINT (-73.858304 40.702933),24017,54,3,34,62
11/01/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,NY,2075820,40.84066,-73.838276,POINT (-73.838276 40.84066),11270,43,5,12,28
02/23/2018,BRONX,S/B,HENRY HUDSON PARKWAY,WEST 239th STREET,STRIKE,NO,YES,VA,2229470,40.888133,-73.911129,POINT (-73.911129 40.888133),11272,48,5,40,33
06/11/2019,MANHATTAN,S/B,FDR DRIVE,EAST 60th STREET,STRIKE,NO,YES,CT,2233038,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
09/04/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,MA,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
02/17/2015,MANHATTAN,N/B,FDR DRIVE,EAST 58th STREET,STRIKE,NO,YES,N/A,2233040,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
10/14/2013,BRONX,N/B,HENRY HUDSON PARKWAY,WEST 236th STREET,STRIKE,NO,YES,NY,2229460,40.886482,73.9125336,POINT (73.9125336 40.886482),,,,,
02/22/2014,BROOKLYN,W/B,REMSEN AVENUE,AVENUE D,STRIKE,YES,YES,N/A,7702720,40.647181,-73.913658,POINT (-73.913658 40.647181),13827,5,2,25,42
02/20/2017,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
05/10/2013,MANHATTAN,N/B,FDR DRIVE,EAST 33rd STREET,STRIKE,NO,YES,N/A,107706A,40.742481,-73.972292,POINT (-73.972292 40.742481),12078,71,4,51,9
12/09/2016,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,NJ,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
02/23/2015,QUEENS,W/B,GRAND CENTRAL PARKWAY,82nd STREET,STRIKE,NO,YES,GA,1055859,40.766958,-73.887576,POINT (-73.887576 40.766958),14782,3,3,21,73
11/12/2018,QUEENS,N/B,VAN WYCK EXPRESSWAY,ROCKWAY BOULEVARD,STRIKE,YES,YES,NY,1055630,40.674427,-73.80208,POINT (-73.80208 40.674427),24016,62,3,46,64
07/01/2014,MANHATTAN,N/B,FDR DRIVE,EAST 62nd STREET,STRIKE,NO,YES,TX,2233038,40.760213,-73.957473,POINT (-73.957473 40.760213),10090,23,4,1,11
08/15/2017,BRONX,N/B,HENRY HUDSON PARKWAY,WEST 246th STREET,STRIKE,NO,YES,PA,2229490,40.893615,-73.908158,POINT (-73.908158 40.893615),11609,48,5,40,33
10/17/2018,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,TN,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
09/17/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,IL,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
04/17/2017,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,N/A,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
10/18/2013,QUEENS,W/B,LONG ISLAND EXPRESSWAY,SPRINGFIELD BOULEVARD,STRIKE,YES,YES,N/A,1055230,40.749411,-73.756855,POINT (-73.756855 40.749411),14506,26,3,16,69
03/08/2014,BRONX,W/B,CROSS BRONX EXPRESSWAY,SOUTHERN BOULEVARD,STRIKE,YES,YES,N/A,1066399,40.840544,-73.886064,POINT (-73.886064 40.840544),11269,35,5,43,31
10/02/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,ORCHARD BEACH ROAD,STRIKE,NO,YES,N/A,1075860,40.873041,-73.818738,POINT (-73.818738 40.873041),11273,44,5,12,28
06/15/2015,MANHATTAN,N/B,FDR DRIVE,EAST 55th STREET,STRIKE,NO,YES,TX,2233040,40.755757,-73.960935,POINT (-73.960935 40.755757),,71,4,1,9
07/07/2015,BRONX,N/B,GRAND CONCOURSE,EAST FORDHAM ROAD,STRIKE,NO,YES,N/A,1056000,40.86243,-73.896938,POINT (-73.896938 40.86243),10936,6,5,22,29
09/17/2017,QUEENS,W/B,GRAND CENTRAL PARKWAY,EXIT 9,STRIKE,NO,YES,N/A,,,,,,,,,
03/27/2019,BRONX,S/B,MAJOR DEEGAN EXPRESSWAY,WEST 238th STREET,STRIKE,YES,YES,N/A,1067000,40.884435,-73.898583,POINT (-73.898583 40.884435),11272,48,5,40,33
04/16/2013,BROOKLYN,E/B,BELT PARKWAY,KNAPP STREET,STRIKE,NO,YES,N/A,2231449,40.585744,-73.931484,POINT (-73.931484 40.585744),13826,32,2,15,36
05/06/2018,BROOKLYN,E/B,BELT PARKWAY,4th AVENUE,STRIKE,NO,YES,N/A,2231270,40.610636,-74.035803,POINT (-74.035803 40.610636),17216,10,2,44,41
06/30/2019,BROOKLYN,E/B,JACKIE ROBINSON PARKWAY,CYPRESS HILLS STREET,STRIKE,NO,YES,N/A,2230040,40.692131,-73.882544,POINT (-73.882544 40.692131),15310,54,3,34,62
11/12/2014,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,IL,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
10/19/2017,BROOKLYN,E/B,BELT PARKWAY,VERRAZANO BRIDGE,STRIKE,YES,YES,GA,5521900,40.609572,-74.034941,POINT (-74.034941 40.609572),17216,10,2,44,41
08/13/2019,BROOKLYN,W/B,BROOKLYN QUEENS EXPRESSWAY,SOUTH 3rd STREET,STRIKE,YES,YES,NY,1065530,40.710229,-73.956236,POINT (-73.956236 40.710229),17613,36,2,30,56
03/16/2018,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,NY,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
07/19/2013,QUEENS,E/B,JACKIE ROBINSON PARKWAY,MYRTLE AVENUE,STRIKE,NO,YES,N/A,2230120,40.702909,-73.858049,POINT (-73.858049 40.702909),15310,54,3,34,62
10/17/2017,BROOKLYN,E/B,BELT PARKWAY,EAST 14th STREET,STRIKE,NO,YES,IN,2233080,40.585038,-73.954744,POINT (-73.954744 40.585038),13826,32,2,15,36
03/25/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
03/22/2013,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
03/25/2014,MANHATTAN,N/B,FDR DRIVE,EAST 78th STREET,STRIKE,NO,YES,CAN,2232140,40.769563,-73.948226,POINT (-73.948226 40.769563),10092,23,4,1,11
06/08/2015,QUEENS,W/B,GRAND CENTRAL PARKWAY,UNION TURNPIKE,STRIKE,NO,YES,N/A,1065030,40.716425,-73.827978,POINT (-73.827978 40.716425),14786,67,3,28,60
07/17/2018,QUEENS,W/B,JACKIE ROBINSON PARKWAY,METROPOLITAN AVENUE,STRIKE,NO,YES,NY,2230179,40.708996,-73.841639,POINT (-73.841639 40.708996),24011,38,3,28,60
05/02/2017,MANHATTAN,N/B,FDR DRIVE,EAST 55th STREET,STRIKE,NO,YES,N/A,2233040,40.755757,-73.960935,POINT (-73.960935 40.755757),,71,4,1,9
04/15/2019,BROOKLYN,E/B,JACKIE ROBINSON PARKWAY,HIGHLAND BOULEVARD,STRIKE,NO,YES,N/A,2230020,40.678189,-73.897491,POINT (-73.897491 40.678189),17214,45,2,37,47
02/14/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,PA,2075820,40.840729,-73.83848,POINT (-73.83848 40.840729),11270,59,5,12,32
09/20/2013,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
07/15/2016,MANHATTAN,N/B,FDR DRIVE,EAST 58th STREET,STRIKE,NO,YES,N/A,2233040,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
07/26/2019,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,N/A,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
03/15/2016,MANHATTAN,N/B,FDR DRIVE,EAST 57th STREET,STRIKE,NO,YES,N/A,2233040,40.757053,-73.959903,POINT (-73.959903 40.757053),,71,4,1,9
05/09/2019,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,N/A,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
07/14/2014,QUEENS,E/B,JACKIE ROBINSON PARKWAY,UNION TURNPIKE,STRIKE,NO,YES,N/A,2230180,40.710683,-73.83738,POINT (-73.83738 40.710683),24011,38,3,28,60
04/05/2018,BROOKLYN,E/B,BELT PARKWAY,SHELL ROAD,STRIKE,NO,YES,MD,7233000,40.582824,-73.97448,POINT (-73.97448 40.582824),18184,21,2,45,35
05/28/2014,QUEENS,W/B,GRAND CENTRAL PARKWAY,ROOSEVELT AVENUE,STRIKE,NO,YES,N/A,1055930,40.752716,-73.852024,POINT (-73.852024 40.752716),14510,65,3,21,68
10/19/2015,BROOKLYN,E/B,BELT PARKWAY,OCEAN PARKWAY,STRIKE,NO,YES,CAN,2231360,40.583891,-73.966856,POINT (-73.966856 40.583891),13826,21,2,45,35
12/23/2015,BRONX,S/B,HENRY HUDSON PARKWAY,WEST 252nd STREET,STRIKE,NO,YES,CO,2229500,40.899333,-73.907194,POINT (-73.907194 40.899333),11609,48,5,40,33
08/18/2014,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,NO,OK,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
04/13/2018,QUEENS,N/B,CROSS ISLAND PARKWAY,SUPERIOR ROAD,STRIKE,NO,YES,NC,2231800,40.720565,-73.725604,POINT (-73.725604 40.720565),15785,,,,
07/06/2017,MANHATTAN,S/B,FDR DRIVE,EAST 63rd STREET,STRIKE,NO,YES,VA,2232110,40.760645,-73.956847,POINT (-73.956847 40.760645),10090,23,4,1,11
08/23/2013,BRONX,S/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,NC,2075820,40.840729,-73.83848,POINT (-73.83848 40.840729),11270,59,5,12,32
03/13/2017,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,N/A,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
06/20/2013,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,NJ,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
08/17/2016,BROOKLYN,E/B,BELT PARKWAY,SHELL ROAD,STRIKE,NO,YES,CA,7233000,40.582824,-73.97448,POINT (-73.97448 40.582824),18184,21,2,45,35
04/07/2015,QUEENS,W/B,JACKIE ROBINSON PARKWAY,MARKWOOD PLACE,STRIKE,NO,YES,NY,2230190,40.711773,-73.836038,POINT (-73.836038 40.711773),14786,40,3,28,70
12/31/2017,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WHITESTONE BRIDGE,STRIKE,NO,YES,N/A,,40.811186,-73.835715,POINT (-73.835715 40.811186),11274,43,5,12,28
07/30/2018,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,CA,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
07/22/2015,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,N/A,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
11/29/2013,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,NJ,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
10/06/2014,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,PA,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
09/19/2018,QUEENS,E/B,BELT PARKWAY,SUNRISE HIGHWAY,STRIKE,NO,YES,PA,2231650,40.665703,-73.741142,POINT (-73.741142 40.665703),15313,63,3,47,63
05/22/2015,QUEENS,W/B,JACKIE ROBINSON PARKWAY,MARKWOOD PLACE,STRIKE,NO,YES,CA,2230190,40.711773,-73.836038,POINT (-73.836038 40.711773),14786,40,3,28,70
01/19/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,ORCHARD BEACH ROAD,STRIKE,NO,YES,AZ,1075860,40.873041,-73.818738,POINT (-73.818738 40.873041),11273,44,5,12,28
11/27/2018,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,N/A,2231590,40.666577,-73.810575,POINT (-73.810575 40.666577),24016,62,3,46,64
06/04/2013,MANHATTAN,N/B,FDR DRIVE,EAST 53rd STREET,STRIKE,NO,YES,N/A,2233040,40.75467,-73.962254,POINT (-73.962254 40.75467),12419,71,4,1,9
03/13/2013,BRONX,S/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,N/A,2075820,40.840729,-73.83848,POINT (-73.83848 40.840729),11270,59,5,12,32
04/24/2014,BROOKLYN,E/B,BELT PARKWAY,EAST 14th STREET,STRIKE,NO,YES,FL,7233070,40.585038,-73.954744,POINT (-73.954744 40.585038),13826,32,2,15,36
02/11/2017,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,NC,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
10/22/2014,QUEENS,E/B,QUEENS BOULEVARD,WOODHAVEN BLVD,STRIKE,YES,YES,N/A,2248159,40.733479,-73.87048,POINT (-73.87048 40.733479),14784,66,3,5,68
01/07/2014,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,VA,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
06/21/2018,QUEENS,E/B,BROOKLYN QUEENS EXPRESSWAY,QUEENS BOULEVARD,STRIKE,YES,YES,N/A,2230530,40.740803,-73.898972,POINT (-73.898972 40.740803),14787,53,3,33,66
04/06/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,N/A,2075820,40.840729,-73.83848,POINT (-73.83848 40.840729),11270,59,5,12,32
06/29/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,NJ,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
02/18/2019,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,MA,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
